,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Discount,Quantity,Sales,Profit,Last Ordered,Returned,Category,Sub-Category,Product Name
0,CA-2014-100006,2014-09-07,2014-09-13,Standard Class,DK-13375,TEC-PH-10002075-0,0.0,3,377.97,109.6113,3823,No,Technology,Phones,AT&T EL51110 DECT
1,CA-2014-100090,2014-07-08,2014-07-12,Standard Class,EB-13705,FUR-TA-10003715-0,0.2,3,502.488,-87.9354,3884,No,Furniture,Tables,Hon 2111 Invitation Series Corner Table
2,CA-2014-100090,2014-07-08,2014-07-12,Standard Class,EB-13705,OFF-BI-10001597-0,0.2,6,196.704,68.8464,3884,No,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue"
3,CA-2014-100293,2014-03-14,2014-03-18,Standard Class,NF-18475,OFF-PA-10000176-0,0.2,6,91.056,31.8696,4000,No,Office Supplies,Paper,Xerox 1887
4,CA-2014-100328,2014-01-28,2014-02-03,Standard Class,JC-15340,OFF-BI-10000343-0,0.2,1,3.928,1.3257,4045,No,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
5,CA-2014-100363,2014-04-08,2014-04-15,Standard Class,JM-15655,OFF-FA-10000611-0,0.2,2,2.368,0.8288,3975,No,Office Supplies,Fasteners,Binder Clips by OIC
6,CA-2014-100363,2014-04-08,2014-04-15,Standard Class,JM-15655,OFF-PA-10004733-0,0.2,3,19.008,6.8904,3975,No,Office Supplies,Paper,Things To Do Today Spiral Book
7,CA-2014-100391,2014-05-25,2014-05-29,Standard Class,BW-11065,OFF-PA-10001471-0,0.0,2,14.62,6.7252,3928,No,Office Supplies,Paper,Strathmore Photo Frame Cards
8,CA-2014-100678,2014-04-18,2014-04-22,Standard Class,KM-16720,FUR-CH-10002602-0,0.3,3,317.058,-18.1176,3965,No,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair
9,CA-2014-100678,2014-04-18,2014-04-22,Standard Class,KM-16720,OFF-AR-10001868-0,0.2,2,2.688,1.008,3965,No,Office Supplies,Art,Prang Dustless Chalk Sticks
10,CA-2014-100678,2014-04-18,2014-04-22,Standard Class,KM-16720,OFF-EN-10000056-0,0.2,3,149.352,50.4063,3965,No,Office Supplies,Envelopes,Cameo Buff Policy Envelopes
11,CA-2014-100678,2014-04-18,2014-04-22,Standard Class,KM-16720,TEC-AC-10000474-0,0.2,3,227.976,28.497,3965,No,Technology,Accessories,Kensington Expert Mouse Optical USB Trackball for PC or Mac
12,CA-2014-100706,2014-12-16,2014-12-18,Second Class,LE-16810,FUR-FU-10002268-0,0.0,6,29.46,9.7218,3723,No,Furniture,Furnishings,Ultra Door Push Plate
13,CA-2014-100706,2014-12-16,2014-12-18,Second Class,LE-16810,TEC-AC-10001314-0,0.0,2,99.98,7.9984,3723,No,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard
14,CA-2014-100762,2014-11-24,2014-11-29,Standard Class,NG-18355,OFF-AR-10000380-0,0.0,4,151.92,45.576,3745,Yes,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
15,CA-2014-100762,2014-11-24,2014-11-29,Standard Class,NG-18355,OFF-LA-10003930-0,0.0,2,196.62,96.3438,3745,Yes,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box"
16,CA-2014-100762,2014-11-24,2014-11-29,Standard Class,NG-18355,OFF-PA-10001815-0,0.0,3,144.12,69.1776,3745,Yes,Office Supplies,Paper,Xerox 1885
